iter	Passed	Remaining
0	49	49943
1	100	50222
2	155	51698
3	207	51721
4	262	52148
5	315	52222
6	369	52485
7	427	52960
8	484	53332
9	538	53293
10	593	53353
11	650	53523
12	705	53574
13	757	53360
14	812	53372
15	868	53385
16	921	53262
17	982	53586
18	1037	53584
19	1093	53569
20	1148	53540
21	1202	53460
22	1256	53359
23	1311	53352
24	1367	53341
25	1422	53287
26	1480	53351
27	1539	53442
28	1593	53363
29	1645	53211
30	1700	53152
31	1752	53004
32	1809	53022
33	1853	52659
34	1908	52608
35	1961	52525
36	2019	52557
37	2072	52468
38	2122	52298
39	2179	52304
40	2231	52193
41	2285	52127
42	2338	52052
43	2395	52038
44	2438	51759
45	2493	51714
46	2550	51712
47	2610	51766
48	2664	51711
49	2718	51645
50	2773	51607
51	2817	51369
52	2879	51443
53	2933	51384
54	2985	51299
55	3039	51234
56	3100	51290
57	3154	51235
58	3204	51110
59	3259	51070
60	3312	50991
61	3367	50951
62	3424	50938
63	3480	50903
64	3535	50854
65	3591	50819
66	3649	50817
67	3699	50710
68	3753	50641
69	3799	50473
70	3855	50452
71	3909	50395
72	3962	50313
73	4015	50249
74	4079	50315
75	4140	50344
76	4191	50241
77	4243	50159
78	4297	50101
79	4350	50035
80	4404	49974
81	4457	49905
82	4514	49876
83	4569	49831
84	4623	49766
85	4683	49774
86	4737	49715
87	4791	49658
88	4841	49558
89	4898	49527
90	4951	49457
91	5002	49372
92	5058	49338
93	5120	49357
94	5188	49428
95	5242	49369
96	5296	49302
97	5348	49225
98	5408	49221
99	5466	49197
100	5515	49091
101	5569	49035
102	5623	48975
103	5674	48885
104	5733	48867
105	5787	48810
106	5842	48758
107	5896	48701
108	5950	48642
109	6003	48575
110	6055	48495
111	6110	48445
112	6164	48386
113	6218	48326
114	6282	48349
115	6338	48304
116	6392	48242
117	6447	48189
118	6501	48136
119	6555	48074
120	6612	48035
121	6670	48003
122	6722	47929
123	6784	47926
124	6839	47874
125	6890	47795
126	6944	47734
127	6999	47685
128	7053	47624
129	7110	47584
130	7167	47548
131	7222	47490
132	7272	47405
133	7332	47385
134	7386	47330
135	7441	47272
136	7493	47203
137	7553	47181
138	7608	47131
139	7662	47072
140	7718	47020
141	7772	46963
142	7831	46931
143	7884	46871
144	7937	46805
145	7989	46734
146	8045	46682
147	8095	46601
148	8150	46553
149	8206	46503
150	8258	46432
151	8316	46396
152	8376	46374
153	8431	46319
154	8489	46279
155	8545	46231
156	8595	46150
157	8650	46099
158	8706	46051
159	8759	45987
160	8812	45923
161	8863	45849
162	8920	45808
163	8974	45746
164	9027	45682
165	9084	45643
166	9139	45586
167	9190	45513
168	9241	45443
169	9291	45365
170	9347	45316
171	9399	45249
172	9459	45219
173	9515	45172
174	9572	45125
175	9624	45060
176	9677	44998
177	9730	44935
178	9791	44910
179	9853	44888
180	9907	44829
181	9968	44802
182	10021	44740
183	10074	44678
184	10126	44609
185	10182	44561
186	10235	44501
187	10290	44444
188	10343	44383
189	10399	44333
190	10455	44287
191	10514	44249
192	10571	44204
193	10624	44139
194	10677	44077
195	10730	44015
196	10783	43954
197	10841	43913
198	10891	43839
199	10941	43767
200	10998	43718
201	11053	43665
202	11109	43618
203	11165	43566
204	11219	43510
205	11276	43463
206	11325	43388
207	11377	43322
208	11434	43277
209	11490	43224
210	11551	43196
211	11606	43139
212	11657	43071
213	11708	43004
214	11765	42957
215	11818	42895
216	11873	42843
217	11926	42781
218	11976	42710
219	12028	42645
220	12087	42606
221	12140	42547
222	12195	42493
223	12247	42427
224	12300	42369
225	12359	42327
226	12412	42267
227	12463	42201
228	12519	42150
229	12579	42113
230	12636	42065
231	12685	41994
232	12739	41937
233	12797	41891
234	12851	41837
235	12905	41780
236	12973	41768
237	13029	41715
238	13083	41659
239	13142	41617
240	13192	41549
241	13247	41494
242	13305	41448
243	13361	41399
244	13418	41349
245	13473	41297
246	13531	41251
247	13584	41192
248	13646	41159
249	13700	41101
250	13756	41049
251	13807	40984
252	13864	40934
253	13917	40875
254	13973	40823
255	14027	40766
256	14089	40734
257	14143	40676
258	14205	40641
259	14256	40576
260	14314	40529
261	14365	40465
262	14419	40407
263	14476	40359
264	14528	40296
265	14581	40237
266	14636	40181
267	14695	40138
268	14749	40081
269	14800	40016
270	14854	39958
271	14907	39900
272	14960	39839
273	15012	39776
274	15066	39719
275	15119	39662
276	15171	39600
277	15232	39560
278	15287	39507
279	15343	39454
280	15396	39395
281	15451	39341
282	15507	39288
283	15561	39232
284	15617	39180
285	15676	39135
286	15732	39083
287	15787	39029
288	15837	38962
289	15887	38897
290	15942	38841
291	15996	38785
292	16047	38723
293	16102	38667
294	16155	38608
295	16211	38557
296	16268	38506
297	16323	38452
298	16375	38391
299	16427	38331
300	16485	38283
301	16542	38234
302	16599	38183
303	16655	38133
304	16711	38079
305	16766	38025
306	16828	37986
307	16884	37934
308	16935	37871
309	16989	37815
310	17044	37759
311	17100	37709
312	17154	37653
313	17208	37595
314	17265	37546
315	17323	37497
316	17383	37453
317	17436	37395
318	17493	37344
319	17549	37292
320	17600	37229
321	17654	37172
322	17704	37107
323	17753	37042
324	17807	36984
325	17865	36936
326	17917	36875
327	17974	36825
328	18029	36772
329	18083	36715
330	18136	36657
331	18191	36602
332	18248	36551
333	18300	36491
334	18357	36441
335	18417	36396
336	18474	36345
337	18528	36290
338	18585	36238
339	18638	36180
340	18695	36130
341	18749	36074
342	18803	36017
343	18854	35955
344	18912	35905
345	18967	35852
346	19023	35799
347	19077	35743
348	19138	35698
349	19190	35639
350	19248	35589
351	19302	35534
352	19357	35480
353	19414	35429
354	19476	35387
355	19533	35335
356	19589	35282
357	19642	35224
358	19696	35168
359	19747	35107
360	19800	35049
361	19858	34999
362	19913	34944
363	19973	34899
364	20029	34845
365	20085	34792
366	20136	34731
367	20189	34673
368	20242	34616
369	20295	34557
370	20351	34504
371	20406	34448
372	20460	34393
373	20518	34343
374	20573	34289
375	20626	34231
376	20679	34172
377	20730	34112
378	20783	34053
379	20837	33998
380	20892	33942
381	20943	33882
382	20997	33826
383	21062	33787
384	21116	33731
385	21167	33670
386	21221	33614
387	21274	33556
388	21324	33493
389	21377	33436
390	21435	33386
391	21493	33336
392	21553	33290
393	21607	33234
394	21661	33178
395	21715	33121
396	21770	33067
397	21823	33008
398	21873	32946
399	21927	32891
400	21982	32836
401	22034	32777
402	22091	32726
403	22141	32663
404	22196	32610
405	22252	32557
406	22311	32508
407	22367	32455
408	22423	32401
409	22481	32350
410	22534	32293
411	22590	32241
412	22646	32187
413	22701	32133
414	22752	32072
415	22806	32016
416	22860	31961
417	22910	31899
418	22962	31841
419	23015	31783
420	23072	31731
421	23129	31679
422	23190	31633
423	23243	31575
424	23297	31519
425	23351	31464
426	23408	31412
427	23463	31357
428	23517	31301
429	23572	31247
430	23622	31186
431	23680	31135
432	23734	31079
433	23788	31024
434	23842	30968
435	23898	30914
436	23949	30855
437	24004	30799
438	24057	30743
439	24109	30684
440	24166	30632
441	24226	30584
442	24284	30533
443	24337	30476
444	24393	30422
445	24448	30368
446	24500	30310
447	24554	30254
448	24606	30196
449	24661	30142
450	24716	30087
451	24772	30034
452	24824	29975
453	24876	29917
454	24936	29869
455	24989	29812
456	25043	29756
457	25096	29698
458	25151	29644
459	25206	29590
460	25267	29542
461	25321	29486
462	25376	29432
463	25427	29373
464	25479	29315
465	25536	29263
466	25591	29208
467	25647	29154
468	25699	29097
469	25755	29043
470	25813	28991
471	25868	28937
472	25933	28894
473	25994	28846
474	26046	28787
475	26100	28732
476	26154	28676
477	26204	28616
478	26254	28556
479	26312	28505
480	26369	28452
481	26424	28397
482	26478	28342
483	26533	28288
484	26591	28236
485	26644	28179
486	26702	28127
487	26753	28069
488	26804	28010
489	26860	27957
490	26916	27903
491	26967	27844
492	27020	27788
493	27072	27730
494	27130	27678
495	27185	27623
496	27235	27563
497	27287	27506
498	27343	27452
499	27406	27406
500	27461	27351
501	27517	27298
502	27575	27246
503	27629	27190
504	27679	27131
505	27730	27073
506	27782	27015
507	27834	26957
508	27890	26903
509	27946	26850
510	27999	26794
511	28054	26739
512	28107	26683
513	28158	26624
514	28209	26566
515	28262	26509
516	28314	26452
517	28379	26407
518	28437	26354
519	28490	26299
520	28542	26241
521	28596	26185
522	28650	26130
523	28701	26072
524	28756	26018
525	28811	25963
526	28864	25906
527	28912	25846
528	28970	25794
529	29031	25744
530	29087	25691
531	29139	25634
532	29189	25575
533	29241	25517
534	29295	25462
535	29349	25406
536	29408	25355
537	29464	25302
538	29524	25252
539	29580	25198
540	29634	25143
541	29688	25087
542	29739	25029
543	29793	24973
544	29845	24916
545	29897	24860
546	29947	24800
547	30006	24749
548	30061	24695
549	30116	24640
550	30171	24586
551	30228	24533
552	30282	24478
553	30334	24421
554	30384	24362
555	30441	24309
556	30493	24252
557	30551	24200
558	30605	24144
559	30659	24089
560	30715	24035
561	30767	23979
562	30823	23925
563	30876	23869
564	30928	23812
565	30978	23754
566	31030	23696
567	31088	23644
568	31142	23589
569	31198	23535
570	31250	23478
571	31304	23423
572	31357	23367
573	31413	23314
574	31465	23257
575	31522	23204
576	31585	23155
577	31639	23100
578	31698	23048
579	31751	22992
580	31805	22937
581	31858	22881
582	31912	22825
583	31965	22769
584	32019	22714
585	32075	22660
586	32135	22609
587	32193	22557
588	32248	22502
589	32302	22447
590	32357	22393
591	32420	22343
592	32473	22287
593	32526	22231
594	32582	22177
595	32638	22124
596	32691	22068
597	32745	22012
598	32797	21956
599	32847	21898
600	32901	21842
601	32955	21787
602	33016	21737
603	33069	21681
604	33123	21626
605	33183	21574
606	33236	21518
607	33285	21460
608	33341	21406
609	33393	21349
610	33447	21294
611	33500	21238
612	33552	21182
613	33606	21127
614	33670	21078
615	33729	21026
616	33784	20971
617	33840	20917
618	33891	20860
619	33947	20806
620	34000	20750
621	34053	20694
622	34106	20639
623	34168	20588
624	34227	20536
625	34282	20481
626	34337	20427
627	34390	20371
628	34441	20314
629	34496	20259
630	34549	20203
631	34600	20147
632	34654	20091
633	34709	20037
634	34766	19983
635	34819	19928
636	34876	19874
637	34928	19818
638	34982	19763
639	35037	19708
640	35088	19651
641	35145	19598
642	35199	19543
643	35252	19487
644	35311	19435
645	35370	19382
646	35423	19326
647	35474	19270
648	35529	19215
649	35583	19160
650	35634	19103
651	35694	19051
652	35749	18996
653	35810	18945
654	35864	18890
655	35920	18836
656	35972	18780
657	36025	18724
658	36080	18669
659	36137	18616
660	36190	18560
661	36242	18504
662	36297	18450
663	36354	18396
664	36408	18341
665	36469	18289
666	36524	18235
667	36577	18179
668	36631	18124
669	36687	18070
670	36739	18013
671	36799	17961
672	36856	17907
673	36912	17853
674	36962	17796
675	37015	17741
676	37068	17685
677	37126	17632
678	37176	17575
679	37232	17521
680	37289	17467
681	37346	17413
682	37405	17360
683	37459	17305
684	37511	17249
685	37569	17196
686	37623	17141
687	37676	17085
688	37728	17029
689	37780	16973
690	37843	16922
691	37893	16866
692	37952	16813
693	38005	16757
694	38060	16702
695	38113	16647
696	38164	16590
697	38219	16536
698	38273	16481
699	38326	16425
700	38381	16370
701	38438	16317
702	38495	16263
703	38547	16207
704	38605	16154
705	38658	16098
706	38710	16042
707	38762	15986
708	38814	15930
709	38865	15874
710	38920	15819
711	38978	15766
712	39035	15712
713	39089	15657
714	39142	15602
715	39194	15546
716	39243	15489
717	39294	15433
718	39347	15377
719	39402	15323
720	39457	15268
721	39513	15214
722	39568	15159
723	39621	15104
724	39673	15048
725	39725	14992
726	39788	14941
727	39843	14886
728	39900	14832
729	39956	14778
730	40008	14722
731	40066	14669
732	40123	14615
733	40177	14560
734	40230	14504
735	40286	14450
736	40344	14396
737	40400	14342
738	40455	14288
739	40512	14234
740	40570	14180
741	40622	14124
742	40691	14075
743	40743	14019
744	40799	13964
745	40856	13910
746	40909	13855
747	40964	13800
748	41028	13749
749	41078	13692
750	41134	13638
751	41188	13583
752	41241	13528
753	41292	13472
754	41347	13417
755	41403	13363
756	41461	13309
757	41515	13254
758	41574	13200
759	41641	13149
760	41698	13095
761	41751	13040
762	41808	12986
763	41863	12931
764	41916	12876
765	41973	12822
766	42027	12767
767	42080	12711
768	42135	12657
769	42192	12602
770	42245	12547
771	42299	12492
772	42355	12438
773	42413	12384
774	42467	12329
775	42532	12277
776	42587	12222
777	42642	12168
778	42698	12113
779	42751	12058
780	42803	12002
781	42857	11947
782	42909	11892
783	42964	11837
784	43019	11782
785	43073	11727
786	43130	11673
787	43180	11617
788	43241	11563
789	43297	11509
790	43355	11455
791	43407	11400
792	43463	11345
793	43521	11291
794	43580	11237
795	43641	11184
796	43697	11129
797	43756	11076
798	43812	11021
799	43866	10966
800	43921	10911
801	43972	10855
802	44027	10801
803	44079	10745
804	44136	10691
805	44189	10636
806	44243	10581
807	44306	10528
808	44354	10471
809	44410	10417
810	44469	10363
811	44521	10308
812	44575	10252
813	44630	10198
814	44683	10142
815	44735	10087
816	44791	10032
817	44845	9977
818	44900	9923
819	44955	9868
820	45012	9813
821	45066	9758
822	45124	9704
823	45177	9649
824	45231	9594
825	45285	9539
826	45346	9485
827	45400	9430
828	45457	9376
829	45510	9321
830	45564	9266
831	45615	9210
832	45670	9155
833	45725	9101
834	45774	9045
835	45827	8990
836	45886	8936
837	45937	8880
838	45990	8825
839	46044	8770
840	46100	8715
841	46153	8660
842	46202	8604
843	46259	8550
844	46315	8495
845	46377	8442
846	46431	8387
847	46487	8332
848	46543	8278
849	46597	8223
850	46655	8168
851	46711	8114
852	46767	8059
853	46819	8004
854	46874	7949
855	46946	7897
856	47007	7843
857	47062	7788
858	47115	7733
859	47167	7678
860	47221	7623
861	47276	7568
862	47333	7514
863	47387	7459
864	47447	7405
865	47497	7349
866	47547	7293
867	47601	7238
868	47664	7185
869	47716	7130
870	47771	7075
871	47824	7020
872	47874	6964
873	47928	6909
874	47986	6855
875	48038	6800
876	48093	6745
877	48145	6689
878	48199	6634
879	48251	6579
880	48303	6524
881	48357	6469
882	48412	6414
883	48469	6360
884	48528	6306
885	48582	6251
886	48633	6195
887	48685	6140
888	48738	6085
889	48792	6030
890	48845	5975
891	48912	5922
892	48966	5867
893	49023	5812
894	49076	5757
895	49129	5702
896	49180	5647
897	49237	5592
898	49303	5539
899	49358	5484
900	49411	5429
901	49464	5374
902	49517	5319
903	49578	5264
904	49631	5209
905	49686	5155
906	49742	5100
907	49793	5045
908	49845	4990
909	49895	4934
910	49952	4880
911	50003	4824
912	50057	4770
913	50109	4714
914	50161	4659
915	50214	4604
916	50268	4549
917	50322	4494
918	50371	4439
919	50428	4385
920	50483	4330
921	50537	4275
922	50597	4221
923	50651	4166
924	50707	4111
925	50758	4056
926	50814	4001
927	50871	3946
928	50925	3892
929	50979	3837
930	51041	3782
931	51094	3727
932	51154	3673
933	51206	3618
934	51257	3563
935	51314	3508
936	51369	3453
937	51423	3398
938	51477	3344
939	51531	3289
940	51588	3234
941	51646	3179
942	51703	3125
943	51758	3070
944	51812	3015
945	51865	2960
946	51918	2905
947	51974	2850
948	52031	2796
949	52085	2741
950	52140	2686
951	52202	2632
952	52253	2577
953	52309	2522
954	52364	2467
955	52415	2412
956	52467	2357
957	52522	2302
958	52585	2248
959	52637	2193
960	52692	2138
961	52751	2083
962	52806	2028
963	52857	1973
964	52912	1919
965	52969	1864
966	53022	1809
967	53077	1754
968	53131	1699
969	53186	1644
970	53240	1590
971	53296	1535
972	53349	1480
973	53404	1425
974	53461	1370
975	53515	1315
976	53570	1261
977	53625	1206
978	53677	1151
979	53729	1096
980	53791	1041
981	53844	986
982	53901	932
983	53955	877
984	54009	822
985	54061	767
986	54115	712
987	54170	657
988	54222	603
989	54284	548
990	54343	493
991	54398	438
992	54454	383
993	54510	329
994	54561	274
995	54614	219
996	54670	164
997	54724	109
998	54778	54
999	54834	0
